epoch,train_loss,test_loss
1,1749375043914020.5,1357617821646848.0
2,1815123106725888.0,1357617783298925.8
3,1763153621361810.2,1357617668255158.8
4,2090490866434048.0,1357617466928566.8
5,1740625531334070.8,1357617332710838.8
6,1748907655842084.5,1357617265601974.8
7,1778650777724050.2,1357617112210285.8
8,1806649384314002.2,1357617064275382.8
9,1746896433746505.2,1357616997166518.8
10,1743982965929691.5,1357616882122752.0
11,1761938729224484.5,1357616795839926.8
12,1869440918187446.8,1357616757492004.5
13,1758755697084708.5,1357616642448237.8
14,1789989837715163.5,1357616632861257.2
15,1744952604529225.2,1357616584926354.2
16,1743158797177417.2,1357616575339373.8
17,1739672678788534.8,1357616546578432.0
18,1755838437617078.8,1357616479469568.0
19,1742219312627712.0,1357616460295606.8
20,1747852322219154.2,1357616431534665.2
21,1835931782273901.8,1357616431534665.2
22,1744535380333129.2,1357616402773723.5
23,1741279511108461.8,1357616402773723.5
24,2119491745106212.5,1357616364425801.2
25,1937317269115465.2,1357616364425801.2
26,1744658045150354.2,1357616278142976.0
27,1743449859705124.5,1357616278142976.0
28,1835562048384438.8,1357616249382034.2
29,1779155818662180.5,1357616239795053.8
30,1808497218495634.2,1357616239795053.8
31,1831294660434797.8,1357616163099209.2
32,1919622656968996.5,1357616163099209.2
33,1747150145397906.2,1357616163099209.2
34,1758316570233124.5,1357616086403364.5
35,1749439784793819.5,1357616086403364.5
36,1784591761276928.0,1357616067229403.5
37,1752889947361865.2,1357616067229403.5
38,1792509392079140.5,1357616067229403.5
39,1838389262137051.5,1357616057642422.8
40,1750154945981878.8,1357616057642422.8
41,1757899455088932.5,1357616057642422.8
42,1767254158699958.8,1357616057642422.8
43,1741416511157979.5,1357616057642422.8
44,1780251409214902.8,1357616057642422.8
45,1765979578021595.5,1357616038468461.8
46,1803135252618093.8,1357616038468461.8
47,1857102764198180.5,1357616028881481.2
48,1765234564174409.2,1357616028881481.2
49,1761356957688978.2,1357616028881481.2
50,1751910500682020.5,1357616028881481.2
51,1754982290292736.0,1357616019294500.5
52,1803089626979181.8,1357616019294500.5
53,2074740402871149.8,1357616019294500.5
54,1754480349544448.0,1357616019294500.5
55,1741281184336164.5,1357616019294500.5
56,1768381123245787.5,1357616009707520.0
57,2020770517314998.8,1357616009707520.0
58,1762880507459291.5,1357616009707520.0
59,1743183734112256.0,1357616009707520.0
60,1739733710255835.5,1357616009707520.0
61,1746291941666230.8,1357616009707520.0
62,1762179950837760.0,1357616009707520.0
63,1778793016159670.8,1357616009707520.0
64,1745030103283419.5,1357616009707520.0
65,1784809443257782.8,1357616009707520.0
66,1831116292264521.2,1357616009707520.0
67,1916331186491977.2,1357616009707520.0
68,1745451014272731.5,1357616009707520.0
69,1750011455246921.2,1357616009707520.0
70,1786030581312950.8,1357616009707520.0
71,2353482155388343.0,1357616009707520.0
72,1743017646264905.2,1357616009707520.0
73,1752946209755721.2,1357616009707520.0
74,1761142692268324.5,1357616009707520.0
