WeatherType,Count
多云,392
晴,123
晴-多云,63
雾-多云,57
阴-多云,45
雾-晴,37
多云-晴,33
多云-小雨,33
小雨-多云,29
阴,27
雾-霾,16
阴-小雨,16
小雨,15
多云-阴,13
多云-中雨,10
霾,9
多云-霾,9
中雨-多云,9
小雨-中雨,8
小雨-阴,8
雾,8
中雨-小雨,7
阴-中雨,7
晴-阴,6
雨-多云,6
雾-阴,6
霾-晴,5
多云-雾,5
霾-多云,5
阴-雾,5
阴-晴,5
中雨-大雨,4
中雨-阴,4
中雨,4
大雨-多云,4
大雨-小雨,4
多云-雨夹雪,4
晴-霾,4
大雨-中雨,4
多云-雷阵雨,3
小雨-雨夹雪,3
霾-雾,3
多云-大雨,3
雾-小雨,3
大雨-阴,2
雨-阴,2
阴-阵雨,2
雾-雨,2
阴-雷阵雨,2
大雨,2
多云-雨,1
雪-阴,1
雨夹雪-雨,1
阴-大雨,1
雨-雾,1
中雨-雨,1
雪-雾,1
阴-霾,1
小雨-晴,1
多云-小雪,1
中雨-晴,1
雨夹雪-小雨,1
多云-暴雨,1
晴-雾,1
霾-浮尘,1
雾-大雨,1
小雨-大雨,1
雾-中雨,1
小雨-雾,1
