Longitude,Latitude,Cross Section
120.4101,31.4494,National Highway 312 Bridge
120.5983,31.4908,Bai Du Gang Bridge
120.0733,30.5402,Chengnan Water Transfer Station
120.0726,30.8654,Chengxi Bridge
120.9887,30.9822,Chijia Bang Hydrological Station
119.897,31.1893,Dagang Bridge
119.9267,31.3124,Dapu Gang Bridge
120.1909,30.93,Daqian
120.5522,31.579,Diaozhu Bridge
119.9303,31.9844,Dongpan Bridge
120.0003,30.88,Fengnan Bridge
120.064,30.441,Fengkou
120.2084,30.2819,Guojiabridge
120.4655,31.2173,Aviation Management Station
119.9539,31.0529,Hexi
120.9745,30.9508,Hongqi Tang Dam
119.6014,31.8331,Huangnian Bridge
120.8063889,31.77027778,Jiangbian Sluice
120.2,31.21666667,Jiangsu Suzhou Xishan
120.2295556,31.39622222,Jiangsu Wuxi Shazhu
119.9118056,31.21180556,Jiangsu Yixing Lanshan Mouth
120.3181,31.9208,Jintong Bridge
119.7784,30.8283,Jingwan
119.937,31.2052,Lanshan Mouth
119.9423,31.128,Lanshan Mouth (Old)
120.238,31.5525,Li Bridge
119.7919,32.0894,Linjia Sluice
121.2723,31.5017,Liuhai Sluice
119.2306,31.3529,Luopeng Bay
119.7497,31.9433,L¨¹cheng
120.947,30.5044,Nantaitou Sluice No.1 Bridge
120.4282,30.887,Nanxun
119.5413,31.4038,Panjiaba
120.1089,31.229,Pingtai Mountain
120.9821,31.1907,Qiandeng Pukou
120.0986,30.8194,Qingyang Hui
120.4392,31.2783,Shanren Bridge
120.9015556,31.10155556,Shanghai Qingpu Jishui Port
120.5322,30.4047,Shangtang River Drainage Sluice
120.3387,30.9396,Tanglou
119.6054,30.6447,Tangpu
120.0145,30.8806,Railway Bridge
120.157,31.3932,Tuoshan
119.8719,30.263,Wangjiabu
120.7101,30.8858,Wangjiangjing
120.4276,31.452,Wangting Upstream
120.5233,30.7864,Wuzhen North
120.2589,30.5004,Wuhang Canal Bridge
120.2573,31.5148,Wuli Lake Center
120.1299,31.6825,Wumu
120.3722,31.4483,Xidong Water Plant
120.8043,30.8019,Xiangjiadang
120.1036,30.9485,Xiaomeikou
121.1199,30.7775,Xiaoxin Village
120.7116,30.9222,Xielugang
119.5622,32.1203,Xinfeng Town
120.1101,30.9117,Xingang Port (Xintang Port)
119.9731,31.0238,Xintang
120.4318,31.1593,Xuhu Center
120.549,30.4028,Yanguan Drainage Hub
120.0078,31.0003,Yangjiapu
120.1133,31.5038,Yaoxiang Bridge
119.988,31.4594,Yincun Port Bridge
119.2125,31.2719,Yinqiao
120.8067,30.6286,Youlu Village
120.5933,31.211,Yuexi Bridge
120.2,31.9094,Changji Bridge
120.8838,30.4,Changshan Sluice No.1 Bridge
121.044,31.2748,Zhao Tun (Shipu Bridge)
120.8388889,30.83888889,Zhejiang Huzhou Xintang Port
120.7086111,30.89194444,Zhejiang Jiaxing Wangjiangjing
120.7086111,30.89194444,Zhejiang Jiaxing Xielugang
120.9246,31.1419,Zhusha Port
